Pinterest Catalog - FIN 22
,,,,,,,
id,title,image_link,Link,description,price,availability,varient_names
96,Rainbow Cake Earrings,https://www.kateandkrisshop.com/product-page/rainbow-cake-earrings,https://www.kateandkrisshop.com/product-page/rainbow-cake-earrings,Made out of Polymer Clay | Stainless Steal | Hand made with Love,18,out of stock,
97,Strawberry Shortcakes,https://www.kateandkrisshop.com/product-page/valentine-s-day-cake-earrings,https://www.kateandkrisshop.com/product-page/valentine-s-day-cake-earrings,Made out of Polymer Clay | Stainless Steal | Hand made with Love,18,,Icing Drip;Full Icing
,,,,,,in stock,Icing Drip
,,,,,,in stock,Full Icing
98,"""LOL No"" Vinyl Sticker",https://www.kateandkrisshop.com/product-page/lol-no-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,in stock,
99,"""Ew Feelings""Cake Vinyl Sticker",https://www.kateandkrisshop.com/product-page/ew-feelings-cake-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,in stock,
100,Love is Love Holographic Vinyl Sticker,https://www.kateandkrisshop.com/product-page/love-is-love-sticker,https://www.kateandkrisshop.com/product-page/love-is-love-sticker,Printed professionally on Vinyl,3,in stock,
101,Rainbow Birthday Cake Vinyl Sticker,https://www.kateandkrisshop.com/product-page/rainbow-birthday-cake-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,in stock,
102,Unicorn Keychain,https://www.kateandkrisshop.com/product-page/unicorn-keychain,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,9,in stock,
103,Ice cream Cone Keychain,https://www.kateandkrisshop.com/product-page/ice-cream-cone-keychain,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,9,in stock,
104,The Classics,https://www.kateandkrisshop.com/product-page/cookie-sandwhich-earrings,https://www.kateandkrisshop.com/product-page/cookie-sandwhich-earrings,Made out of Polymer Clay | Stainless Steal | Hand made with Love,14,in stock,
105,Cupcake Keychain,https://www.kateandkrisshop.com/product-page/cupcake-keychain,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Made out of Polymer Clay | Stainless Steal | Hand made with Love,9,in stock,
106,Unicorn Dusts,https://www.kateandkrisshop.com/product-page/sparkly-unicorn-dust-stud-earrings,https://www.kateandkrisshop.com/product-page/sparkly-unicorn-dust-stud-earrings,Made out of Polymer Clay | Stainless Steal | Hand made with Love,18,,Regular Earring back;Clip On
,,,,,,out of stock,Regular Earring back
,,,,,,in stock,Clip On
107,Tamagotchi Vinyl Sticker,https://www.kateandkrisshop.com/product-page/tamagotchi-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,in stock,
108,"Clueless ""As If"" Vinyl Sticker",https://www.kateandkrisshop.com/product-page/clueless-as-if-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,in stock,
109,"""Music Is Life"" Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/music-is-life-sticker,https://www.kateandkrisshop.com/product-page/music-is-life-sticker,Printed professionally on Vinyl,3,in stock,
110,"""Find Your Happy"" Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/find-your-happy-sticker,https://www.kateandkrisshop.com/product-page/find-your-happy-sticker,Printed professionally on Vinyl,3,in stock,
112,"""I am loved, I am strong, I am enough"" Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/i-am-loved-i-am-strong-i-am-enough-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,3,in stock,
113,Purple Moon Vinyl Sticker,https://www.kateandkrisshop.com/product-page/purple-moon-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,3,in stock,
114,Unicorn Vinyl Sticker,https://www.kateandkrisshop.com/product-page/sparkly-holographic-unicorn-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,3,in stock,Sparkle Holographic;Plain Vinyl
115,Lucky Cat Vinyl Sticker,https://www.kateandkrisshop.com/product-page/rainbow-holographic-lucky-cat-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,3,in stock,
116,Girl in the Clouds Vinyl Sticker,https://www.kateandkrisshop.com/product-page/sparkly-holographic-girl-in-the-clouds-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,3,in stock,
117,Holographic Clear Lucky Cat Sticker,https://www.kateandkrisshop.com/product-page/holographic-clear-lucky-cat-sticker,https://www.kateandkrisshop.com/product-page/moon-clouds-bullet-journal,Printed professionally on Vinyl,4,,Regular Holographic;Gold Glitter Holographic
